Predicted Shock Arrival Time,Difference (hrs),Confidence (%),Submitted On,Lead Time (hrs),Predicted Geomagnetic Storm Parameter(s),Method,Submitted By,CME
"2014-01-09T04:30Z(-2.5h, +2.5h)",-15.03,NA,2014-01-08T05:02Z,38.5,Max Kp Range: 5.0 - 8.0,SIDC ,Leila Mays (GSFC),2014-01-07T182400-CME-001
2014-01-09T06:35Z,-12.95,NA,NA,NA,Max Kp Range: 6.0 - 7.625, Average of all Methods ,Auto Generated (CCMC),2014-01-07T182400-CME-001
2014-01-09T08:00Z,-11.53,NA,2014-01-08T01:31Z,42.02,Max Kp Range: 6.0 - 7.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2014-01-07T182400-CME-001
2014-01-09T08:02Z,-11.5,NA,2014-01-08T16:37Z,26.92,NA,ESPM,Alisson Dallago (INPE),2014-01-07T182400-CME-001
"2014-01-09T11:22Z(-11.7h, +9.1h)",-8.17,NA,2014-01-09T18:57Z,0.58,Max Kp Range: 3.0 - 5.0,Ensemble WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-01-07T182400-CME-001
"2014-01-09T12:00Z(-7.0h, +7.0h)",-7.53,NA,2014-01-08T06:32Z,37,NA, WEC ,RWC Jeju (KSWC),2014-01-07T182400-CME-001
"2014-01-09T13:00Z(-7.0h, +7.0h)",-6.53,NA,2014-01-08T23:17Z,20.25,Max Kp Range: 6.0 - 8.0, WEC ,Duty Forecaster (ASFC),2014-01-07T182400-CME-001
"2014-01-09T19:26Z(-10.0h, +10.0h)",-0.1,NA,2014-01-07T21:00Z,46.53,NA, STOA ,Leila Mays (GSFC),2014-01-07T182400-CME-001
"2014-01-10T04:04Z(-16.0h, +36.0h)",8.53,NA,2014-01-08T14:56Z,28.6,Max Kp Range: 8.0 - 8.0Dst min. in nT: -300 ,COMESEP ,Andy Devos (SIDC),2014-01-07T182400-CME-001
"2014-01-16T21:09Z(-7.0h, +7.0h)",-44.97,NA,2014-01-14T17:41Z,96.43,Max Kp Range: 3.0 - 5.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-01-14T102400-CME-001
2014-01-17T13:00Z,-29.12,NA,2014-01-14T19:43Z,94.4,Max Kp Range: -- - 4.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2014-01-14T102400-CME-001
2014-01-17T15:23Z,-26.73,NA,NA,NA,Max Kp Range: 3.0 - 4.5, Average of all Methods ,Auto Generated (CCMC),2014-01-14T102400-CME-001
"2014-01-18T12:00Z(-12.0h, +12.0h)",-6.12,NA,2014-01-15T10:41Z,79.43,NA,SIDC ,Leila Mays (GSFC),2014-01-14T102400-CME-001
2014-02-02T04:00Z,-19.3,NA,2014-01-31T17:22Z,53.93,Max Kp Range: -- - 5.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2014-01-30T162400-CME-001
"2014-02-02T05:44Z(-11.4h, +10.0h)",-17.57,NA,2014-01-31T15:47Z,55.52,Max Kp Range: 4.0 - 6.0,Ensemble WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-01-30T162400-CME-001
"2014-02-02T07:49Z(-7.0h, +7.0h)",-15.48,NA,2014-01-31T05:09Z,66.15,Max Kp Range: 4.0 - 6.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-01-30T162400-CME-001
2014-02-02T12:00Z,-11.3,NA,2014-01-30T21:49Z,73.48,NA,SIDC ,Leila Mays (GSFC),2014-01-30T162400-CME-001
2014-02-02T16:00Z,-7.3,NA,NA,NA,Max Kp Range: 4.0 - 5.66667, Average of all Methods ,Auto Generated (CCMC),2014-01-30T162400-CME-001
"2014-02-03T16:42Z(-7.0h, +7.0h)",NA,NA,2014-02-01T13:45Z,50.95,Max Kp Range: 4.0 - 6.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-01-31T163400-CME-001
"2014-02-03T17:20Z(-6.0h, +9.1h)",NA,NA,2014-02-02T02:44Z,38.6,Max Kp Range: 3.0 - 6.0,Ensemble WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-01-31T163400-CME-001
2014-02-04T01:00Z,NA,NA,NA,NA,Max Kp Range: 3.5 - 5.0, Average of all Methods ,Auto Generated (CCMC),2014-01-31T163400-CME-001
"2014-02-04T02:28Z(-40.0h, +80.0h)",27.17,NA,2014-01-31T08:16Z,63.03,NA,COMESEP ,Andy Devos (SIDC),2014-01-30T162400-CME-001
2014-02-04T17:00Z,NA,NA,2014-02-01T11:25Z,77.58,Max Kp Range: -- - 3.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2014-01-31T163400-CME-001
"2014-02-06T20:39Z(-18.0h, +23.0h)",-19.62,NA,2014-02-05T02:38Z,61.63,Max Kp Range: 2.0 - 5.0,Ensemble WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-02-04T012500-CME-001
"2014-02-07T00:38Z(-7.0h, +7.0h)",-15.63,NA,2014-02-05T00:25Z,63.85,Max Kp Range: 3.0 - 5.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-02-04T012500-CME-001
2014-02-07T06:04Z,-10.2,NA,NA,NA,Max Kp Range: 2.5 - 4.66667, Average of all Methods ,Auto Generated (CCMC),2014-02-04T012500-CME-001
2014-02-07T09:00Z,-7.27,NA,2014-02-05T01:42Z,62.57,NA, WEC ,RWC Jeju (KSWC),2014-02-04T012500-CME-001
2014-02-07T18:00Z,1.73,NA,2014-02-04T13:11Z,75.08,Max Kp Range: -- - 4.0,SIDC ,Leila Mays (GSFC),2014-02-04T012500-CME-001
2014-02-14T10:38Z,-25.95,NA,2014-02-12T19:27Z,65.13,NA,SARM ,Leila Mays (GSFC),2014-02-12T054800-CME-001
"2014-02-14T18:00Z(-6.0h, +6.0h)",-18.58,NA,2014-02-13T00:30Z,60.08,Max Kp Range: 4.0 - 6.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2014-02-12T054800-CME-001
"2014-02-14T19:06Z(-7.0h, +7.0h)",-17.48,NA,2014-02-12T19:51Z,64.73,Max Kp Range: 5.0 - 7.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-02-12T054800-CME-001
2014-02-14T21:30Z,-15.08,NA,NA,NA,Max Kp Range: 4.0 - 6.33333, Average of all Methods ,Auto Generated (CCMC),2014-02-12T054800-CME-001
"2014-02-14T23:47Z(-8.65h, +13.23h)",-12.8,NA,2014-02-13T02:33Z,58.03,Max Kp Range: 3.0 - 6.0,Ensemble WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-02-12T054800-CME-001
2014-02-15T12:00Z,-0.58,NA,2014-02-12T23:03Z,61.53,NA,SIDC ,Leila Mays (GSFC),2014-02-12T054800-CME-001
"2014-02-20T16:29Z(-28.73h, +17.65h)",13.65,NA,2014-02-18T20:46Z,30.07,Max Kp Range: 2.0 - 6.0,Ensemble WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-02-18T012500-CME-001
"2014-02-20T20:00Z(-12.0h, +12.0h)",17.17,NA,2014-02-18T10:05Z,40.75,NA,SIDC ,Leila Mays (GSFC),2014-02-18T012500-CME-001
2014-02-20T21:23Z,18.55,NA,NA,NA,Max Kp Range: 2.66667 - 5.0, Average of all Methods ,Auto Generated (CCMC),2014-02-18T012500-CME-001
2014-02-21T00:00Z,21.17,NA,2014-02-19T00:30Z,26.33,Max Kp Range: 3.0 - 4.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2014-02-18T012500-CME-001
"2014-02-21T01:05Z(-7.0h, +7.0h)",22.25,NA,2014-02-18T20:38Z,30.2,Max Kp Range: 3.0 - 5.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-02-18T012500-CME-001
"2014-02-22T11:26Z(-7.0h, +7.0h)",-18.57,NA,2014-02-20T01:14Z,76.77,Max Kp Range: 4.0 - 6.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-02-19T160000-CME-001
"2014-02-22T12:20Z(-12.58h, +13.18h)",-17.67,NA,2014-02-20T15:30Z,62.5,Max Kp Range: 3.0 - 5.0,Ensemble WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-02-19T160000-CME-001
2014-02-22T18:11Z,-11.82,NA,NA,NA,Max Kp Range: 3.33333 - 5.0, Average of all Methods ,Auto Generated (CCMC),2014-02-19T160000-CME-001
2014-02-23T00:00Z,-6,NA,2014-02-20T12:30Z,65.5,Max Kp Range: 3.0 - 4.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2014-02-19T160000-CME-001
2014-02-23T01:00Z,-5,NA,2014-02-20T09:37Z,68.38,NA,SIDC ,Leila Mays (GSFC),2014-02-19T160000-CME-001
2014-02-26T12:15Z,-27.92,NA,2014-02-25T20:28Z,43.7,NA,ESPM,Leila Mays (GSFC),2014-02-25T012500-CME-001
2014-02-26T20:07Z,-20.05,NA,NA,NA,Max Kp Range: 3.0 - 5.0, Average of all Methods ,Auto Generated (CCMC),2014-02-25T012500-CME-001
2014-02-26T22:00Z,-18.17,NA,2014-02-26T00:30Z,39.67,Max Kp Range: -- - 4.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2014-02-25T012500-CME-001
"2014-02-26T22:15Z(-11.27h, +20.72h)",-17.92,NA,2014-02-25T23:03Z,41.12,Max Kp Range: 3.0 - 6.0,Ensemble WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-02-25T012500-CME-001
2014-02-27T00:00Z,-16.17,NA,2014-02-26T13:19Z,26.85,NA,SIDC ,Leila Mays (GSFC),2014-02-25T012500-CME-001
"2014-03-25T18:31Z(-7.0h, +7.0h)",-0.9,NA,2014-03-23T20:33Z,46.87,Max Kp Range: 4.0 - 6.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-03-23T040900-CME-001
2014-03-25T22:10Z,2.75,NA,NA,NA,Max Kp Range: 4.0 - 5.0, Average of all Methods ,Auto Generated (CCMC),2014-03-23T040900-CME-001
2014-03-26T00:00Z,4.58,NA,2014-02-24T12:55Z,702.5,Max Kp Range: -- - 5.0,SIDC ,Leila Mays (GSFC),2014-03-23T040900-CME-001
2014-03-26T00:00Z,4.58,NA,2014-03-24T00:30Z,42.92,Max Kp Range: -- - 4.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2014-03-23T040900-CME-001
2014-04-01T05:00Z,NA,NA,2014-03-29T12:34Z,64.43,NA,SIDC ,Leila Mays (GSFC),2014-03-28T235800-CME-001
2014-04-01T10:40Z,NA,NA,NA,NA,Max Kp Range: 3.0 - 4.0, Average of all Methods ,Auto Generated (CCMC),2014-03-28T235800-CME-001
2014-04-01T12:00Z,NA,NA,2014-03-30T04:09Z,55.85,NA,WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-03-28T235800-CME-001
2014-04-01T15:00Z,NA,NA,2014-03-30T00:30Z,62.5,Max Kp Range: 3.0 - 4.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2014-03-28T235800-CME-001
2014-04-01T21:00Z,NA,NA,2014-03-31T02:37Z,42.38,NA, WEC ,RWC Jeju (KSWC),2014-03-29T183900-CME-001
"2014-04-01T21:30Z(-1.0h, +1.0h)",NA,NA,2014-04-01T22:49Z,-1.32,Max Kp Range: 3.0 - 4.0,Ensemble WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-03-29T183900-CME-001
"2014-04-02T00:00Z(-7.0h, +7.0h)",NA,NA,2014-03-31T16:43Z,31.28,Max Kp Range: 2.0 - 3.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-03-30T122400-CME-001
"2014-04-02T00:00Z(-7.0h, +7.0h)",NA,NA,2014-03-29T23:45Z,72.25,NA,WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-03-29T183900-CME-001
2014-04-02T01:54Z,NA,NA,NA,NA,Max Kp Range: 3.0 - 4.0, Average of all Methods ,Auto Generated (CCMC),2014-03-29T183900-CME-001
2014-04-02T04:30Z,NA,NA,2014-03-31T15:00Z,37.5,NA,SIDC ,Leila Mays (GSFC),2014-03-29T183900-CME-001
2014-04-02T06:00Z,NA,NA,2014-03-31T00:30Z,53.5,Max Kp Range: -- - 5.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2014-03-30T122400-CME-001
2014-04-02T06:00Z,NA,NA,2014-03-31T00:30Z,53.5,Max Kp Range: 3.0 - 4.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2014-03-29T183900-CME-001
2014-04-02T06:27Z,NA,NA,2014-03-31T16:22Z,38.08,NA,ESPM,Alisson Dallago (INPE),2014-03-29T183900-CME-001
2014-04-02T10:00Z,NA,NA,NA,NA,Max Kp Range: 2.0 - 4.0, Average of all Methods ,Auto Generated (CCMC),2014-03-30T122400-CME-001
2014-04-03T00:00Z,NA,NA,2014-03-31T09:09Z,62.85,NA,SIDC ,Leila Mays (GSFC),2014-03-30T122400-CME-001
"2014-04-04T09:21Z(-7.0h, +7.0h)",-24.32,NA,2014-04-02T22:27Z,59.22,Max Kp Range: 5.0 - 7.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-04-02T135500-CME-001
"2014-04-04T19:01Z(-10.0h, +6.3h)",-14.65,NA,2014-04-03T03:21Z,54.32,Max Kp Range: 3.0 - 7.0,Ensemble WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-04-02T135500-CME-001
2014-04-05T00:00Z(-9.0h),-9.67,NA,2014-04-03T12:23Z,45.28,Max Kp Range: -- - 5.0,SIDC ,Leila Mays (GSFC),2014-04-02T135500-CME-001
2014-04-05T00:04Z,-9.6,NA,NA,NA,Max Kp Range: 4.0 - 6.33333, Average of all Methods ,Auto Generated (CCMC),2014-04-02T135500-CME-001
2014-04-05T03:00Z,-6.67,NA,2014-04-03T00:30Z,57.17,Max Kp Range: 4.0 - 5.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2014-04-01T170000-CME-001
"2014-04-05T04:50Z(-7.0h, +7.0h)",-4.83,NA,2014-04-02T15:00Z,66.67,Max Kp Range: 3.0 - 5.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-04-01T170000-CME-001
2014-04-05T06:36Z,-3.07,NA,NA,NA,Max Kp Range: 3.5 - 5.0, Average of all Methods ,Auto Generated (CCMC),2014-04-01T170000-CME-001
2014-04-05T10:00Z,0.33,NA,2014-04-03T07:27Z,50.22,NA, WEC ,RWC Jeju (KSWC),2014-04-02T135500-CME-001
2014-04-05T10:00Z,0.33,NA,2014-04-03T22:35Z,35.08,Dst min. in nT: -158 Dst min. time: 2014-04-05T13:00Z ,Anemomilos ,WKent Tobiska (SET SWD),2014-04-02T135500-CME-001
"2014-04-05T12:00Z(-12.0h, +12.0h)",2.33,NA,2014-04-02T10:37Z,71.05,NA,SIDC ,Leila Mays (GSFC),2014-04-01T170000-CME-001
"2014-04-20T05:07Z(-4.03h, +6.13h)",-5.25,NA,2014-04-18T21:06Z,37.27,Max Kp Range: 4.0 - 8.0,Ensemble WEC (GSFC SWRC) ,Karin Muglach (GSFC),2014-04-18T130900-CME-001
"2014-04-20T09:09Z(-7.0h, +7.0h)",-1.22,NA,2014-04-18T21:37Z,36.75,Max Kp Range: 4.0 - 6.0,WEC (GSFC SWRC) ,Karin Muglach (GSFC),2014-04-18T130900-CME-001
2014-04-20T13:00Z,2.63,NA,2014-04-18T19:23Z,38.98,Max Kp Range: -- - 5.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2014-04-18T130900-CME-001
2014-04-20T15:49Z,5.45,NA,NA,NA,Max Kp Range: 4.0 - 6.25, Average of all Methods ,Auto Generated (CCMC),2014-04-18T130900-CME-001
"2014-04-21T12:00Z(-12.0h, +12.0h)",25.63,NA,2014-04-18T20:02Z,38.33,Max Kp Range: -- - 6.0,SIDC ,Leila Mays (GSFC),2014-04-18T130900-CME-001
2014-04-24T16:30Z,NA,NA,NA,NA,NA, Average of all Methods ,Auto Generated (CCMC),2014-04-21T200200-CME-001
"2014-04-24T16:30Z(-13.0h, +13.0h)",NA,NA,2014-04-22T18:00Z,46.5,NA, SAO Crowdsource ,Michael Stevens (SAO),2014-04-21T200200-CME-001
"2014-06-07T20:56Z(-6.82h, +8.1h)",4.78,NA,2014-06-05T20:10Z,43.98,Max Kp Range: 3.0 - 6.0,Ensemble WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-06-04T132500-CME-001
2014-06-07T22:28Z,6.32,NA,NA,NA,Max Kp Range: 3.0 - 6.0, Average of all Methods ,Auto Generated (CCMC),2014-06-04T132500-CME-001
"2014-06-08T00:00Z(-7.0h, +7.0h)",7.85,NA,2014-06-05T18:16Z,45.88,NA,WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-06-04T132500-CME-001
"2014-06-12T20:28Z(-3.07h, +3.07h)",NA,NA,2014-06-11T14:59Z,29.48,Max Kp Range: 4.0 - 7.0,Ensemble WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-06-10T130900-CME-001
"2014-06-13T06:00Z(-6.0h, +6.0h)",NA,NA,2014-06-10T21:26Z,56.57,NA,SIDC ,Leila Mays (GSFC),2014-06-10T130900-CME-001
2014-06-13T10:00Z,NA,NA,2014-06-12T17:25Z,16.58,Max Kp Range: -- - 4.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2014-06-10T130900-CME-001
2014-06-13T12:00Z,NA,NA,2014-06-12T20:06Z,15.9,NA, WEC ,Met Office (Met Office),2014-06-10T130900-CME-001
"2014-06-13T16:00Z(-7.0h, +7.0h)",NA,NA,2014-06-10T18:47Z,69.22,Max Kp Range: 2.0 - 4.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-06-10T130900-CME-001
2014-06-13T19:07Z,NA,NA,NA,NA,Max Kp Range: 3.0 - 5.4, Average of all Methods ,Auto Generated (CCMC),2014-06-10T130900-CME-001
"2014-06-14T09:02Z(-9.5h, +18.63h)",NA,NA,2014-06-11T10:49Z,70.22,Max Kp Range: -- - 5.0,COMESEP ,Leila Mays (GSFC),2014-06-10T130900-CME-001
"2014-06-15T06:00Z(-6.0h, +6.0h)",-47.67,NA,2014-06-13T13:00Z,88.67,NA,SIDC ,Leila Mays (GSFC),2014-06-12T221200-CME-001
"2014-06-15T12:24Z(-28.0h, +31.5h)",NA,NA,2014-06-10T19:49Z,112.58,Max Kp Range: -- - 7.0,COMESEP ,Leila Mays (GSFC),2014-06-10T130900-CME-001
2014-06-15T18:00Z,-35.67,NA,NA,NA,NA, Average of all Methods ,Auto Generated (CCMC),2014-06-12T221200-CME-001
"2014-06-16T06:00Z(-7.0h, +7.0h)",-23.67,NA,2014-06-13T18:45Z,82.92,NA,WEC (GSFC SWRC) ,Anna Chulaki (CCMC),2014-06-12T221200-CME-001
"2014-06-22T07:00Z(-7.0h, +7.0h)",-39,NA,2014-06-20T15:00Z,79,NA,WEC (Met Office) ,Met Office (Met Office),2014-06-19T192400-CME-001
2014-06-22T15:00Z,-31,NA,2014-06-20T01:22Z,92.63,Max Kp Range: -- - 5.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2014-06-19T192400-CME-001
"2014-06-22T16:12Z(-5.4h, +7.6h)",-29.8,NA,2014-06-20T22:59Z,71.02,Max Kp Range: 3.0 - 7.0,Ensemble WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-06-19T192400-CME-001
"2014-06-22T18:00Z(-7.0h, +7.0h)",-28,NA,2014-06-20T00:18Z,93.7,Max Kp Range: 5.0 - 6.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-06-19T192400-CME-001
"2014-06-22T21:00Z(-2.0h, +2.0h)",-25,NA,2014-06-20T21:38Z,72.37,Max Kp Range: 0.7 - 1.0Dst min. in nT: -18 Dst min. time: 2014-06-23T02:00Z ,Rice-ENLIL Dst ,Ramkumar Bala (Rice),2014-06-19T192400-CME-001
2014-06-22T21:18Z,-24.7,NA,NA,NA,Max Kp Range: 2.9 - 4.75, Average of all Methods ,Auto Generated (CCMC),2014-06-19T192400-CME-001
2014-06-23T00:00Z,-22,NA,2014-06-21T02:00Z,68,NA,WEC (KSWC) ,RWC Jeju (KSWC),2014-06-19T192400-CME-001
"2014-06-24T00:00Z(-6.0h, +6.0h)",2,NA,2014-06-20T08:32Z,85.47,NA,SIDC ,Leila Mays (GSFC),2014-06-19T192400-CME-001
2014-06-24T11:00Z,NA,NA,2014-06-22T02:00Z,57,NA,WEC (KSWC) ,RWC Jeju (KSWC),2014-06-20T122400-CME-001
"2014-06-24T12:00Z(-12.0h, +12.0h)",NA,NA,2014-06-21T14:22Z,69.63,Max Kp Range: -- - 5.0,SIDC ,Leila Mays (GSFC),2014-06-20T122400-CME-001
2014-06-24T14:20Z,NA,NA,NA,NA,Max Kp Range: 2.0 - 4.0, Average of all Methods ,Auto Generated (CCMC),2014-06-20T122400-CME-001
"2014-06-24T20:00Z(-7.0h, +7.0h)",NA,NA,2014-06-21T19:36Z,72.4,Max Kp Range: 2.0 - 3.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-06-20T122400-CME-001
2014-06-28T14:00Z,-28,20,NA,NA,Max Kp Range: 2.0 - 4.0, Average of all Methods ,Auto Generated (CCMC),2014-06-25T125400-CME-001
"2014-06-28T14:00Z(-7.0h, +7.0h)",-28,20,2014-06-26T14:15Z,75.75,Max Kp Range: 2.0 - 4.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-06-25T125400-CME-001
2014-07-12T09:00Z,NA,NA,2014-07-18T15:55Z,-150.92,Max Kp Range: 2.0 - 4.0,WEC (GSFC SWRC) ,Jenna Zink (GMU),2014-07-08T161500-CME-001
2014-07-12T11:00Z,NA,NA,NA,NA,Max Kp Range: 2.0 - 4.0, Average of all Methods ,Auto Generated (CCMC),2014-07-08T161500-CME-001
2014-07-12T13:00Z,NA,NA,2014-07-09T08:50Z,76.17,NA,WEC (KSWC) ,RWC Jeju (KSWC),2014-07-08T161500-CME-001
2014-07-12T22:46Z,NA,NA,2014-07-18T15:55Z,-137.15,Max Kp Range: 4.0 - 6.0,WEC (GSFC SWRC) ,Jenna Zink (GMU),2014-07-09T190000-CME-001
2014-07-13T01:23Z,NA,NA,NA,NA,Max Kp Range: 4.0 - 6.0, Average of all Methods ,Auto Generated (CCMC),2014-07-09T190000-CME-001
2014-07-13T04:00Z,NA,NA,2014-07-10T02:00Z,74,NA,WEC (KSWC) ,RWC Jeju (KSWC),2014-07-09T190000-CME-001
"2014-08-01T14:34Z(-10.3h, +17.0h)",NA,75,2014-07-30T21:00Z,41.57,Max Kp Range: 2.0 - 6.0,Ensemble WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-07-30T070000-CME-001
2014-08-01T22:00Z,NA,NA,2014-08-01T13:54Z,8.1,NA,ESPM,Alisson Dallago (INPE),2014-07-30T070000-CME-001
